🕘️更新时间,#genre#
2026-08-28 04:15:36,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8$订阅源

📺央视频道,#genre#
CCTV-4,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8$订阅源
CCTV-13,https://event.pull.hebtv.com/jishi/cp1.m3u8$订阅源
CCTV-13,https://ldncctvwbcdcnc.v.wscdns.com/ldncctvwbcd/cdrmldcctv13_1/index.m3u8$订阅源
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8#rtsp://103.251.96.71/PLTV/88888888/224/3221225783/10000100000000060000000000726027_0.smil?icpid=SSPID&amp;accounttype=1&amp;limitflux=-1&amp;limitdur=-1&amp;accountinfo=:20240213104135$订阅源

📡卫视频道,#genre#
青海卫视,https://hls-qhmh.lanzhousobey.cn/qhmh/mhds.m3u8$订阅源

🌊港·澳·台,#genre#
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4$订阅源
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn$订阅源
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw$订阅源
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx$订阅源
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2$订阅源
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw$订阅源
无线新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbxw$订阅源

🎬电影频道,#genre#
NewTV惊悚悬疑,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010077$订阅源
NewTV动作电影,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010003$订阅源
天映经典,https://classicarts.akamaized.net/hls/live/1024257/CAS/master.m3u8$订阅源
天映经典,https://epg.pw/stream/cb817875cf26eb683af274dd8cdf7f559a71353d9565c32447c8d98894bc8095.ctv$订阅源
无线星河,http://php.jdshipin.com/smt.php?id=Xinhe$订阅源

🎥咪咕直播,#genre#

🏀体育频道,#genre#
广东体育,http://php.jdshipin.com/PLTV/iptv.php?id=gdty$订阅源
广东体育,https://cdn.qd.je/163189/gdty$订阅源
广东体育,https://epg.pw/stream/7b470f9fc5c305db0c8622117b7b25ca00eb35ba3e93e865cf0ff9df5c736681.m3u8$订阅源
五星体育,https://cdn.qd.je/163189/wxty$订阅源
劲爆体育,http://php.jdshipin.com/itv6s.php?cid=hnbblive&id=2000000002000000008$订阅源
精品体育,https://epg.pw/stream/f7556eccd4ae06b0c2991fdc7a4f8388496559f728cc82459a8e50346040e226.m3u8$订阅源
风云足球,https://epg.pw/stream/6d7bf281e3d739806a73f5373acaa6e01988ec9739f5ac1355ce54b47a928472.m3u8$订阅源
足球频道,https://epg.pw/stream/c7df950876e6a1ceb8be74ee86f9f702cebbbae29f1d15124ef8f86fd43161cf.m3u8$订阅源

🪁动画频道,#genre#
七龙珠,https://live.ottiptv.cc/huya/11601966$订阅源
七龙珠,https://live.metshop.top/huya/11601966$订阅源
海绵宝宝,https://live.metshop.top/douyu/3949681$订阅源
中华小当家,https://live.ottiptv.cc/huya/11342413$订阅源
中华小当家,https://live.metshop.top/huya/11342413$订阅源
猫和老鼠,https://live.ottiptv.cc/huya/11352879$订阅源
猫和老鼠,https://live.metshop.top/huya/11352879$订阅源
蜡笔小新,https://live.ottiptv.cc/bilibili/30837590$订阅源

🏛经典剧场,#genre#
笑傲江湖,https://live.ottiptv.cc/huya/26355790$订阅源
笑傲江湖,https://live.metshop.top/huya/26355790$订阅源
天龙八部,https://live.ottiptv.cc/huya/20985816$订阅源
天龙八部,https://live.metshop.top/huya/23903123$订阅源
鹿鼎记,https://live.ottiptv.cc/yy/28265277$订阅源
仙剑奇侠传,https://live.ottiptv.cc/yy/1382749903$订阅源
西游记,https://live.ottiptv.cc/huya/26355861$订阅源
西游记,https://live.metshop.top/huya/26355861$订阅源
三国演义,https://live.ottiptv.cc/huya/11602081$订阅源
三国演义,https://live.metshop.top/huya/11602081$订阅源
水浒传,https://live.ottiptv.cc/yy/1353873252$订阅源
新白娘子传奇,https://live.ottiptv.cc/yy/1354490667$订阅源
封神榜,https://live.ottiptv.cc/huya/29465849$订阅源
封神榜,https://live.metshop.top/huya/29465849$订阅源
射雕英雄传,https://live.ottiptv.cc/huya/23824164$订阅源
射雕英雄传,https://live.metshop.top/huya/23824164$订阅源
